Company,Ticker,Market Cap,Price,Daily Change (%),Country
Freddie Mac,FMCCT,10950000000.0,3.4,-0.61,USA
Cable One,CABO,10940000000.0,1813.0,-1.11,USA
Lennox,LII,10930000000.0,294.17,-2.1,USA
IMCD,IMCD.AS,10910000000.0,191.85,0.82,Netherlands
Dr. Reddy's,RDY,10900000000.0,65.14,-0.06,India
Samsung Life Insurance,032830.KS,10880000000.0,60.6,-2.32,S. Korea
Rational AG,RAA.F,10870000000.0,956.85,-0.56,Germany
Chr. Hansen,51C.F,10860000000.0,82.52,-2.26,Denmark
Singapore Airlines,SINGF,10860000000.0,3.66,0.0,Singapore
Gaming and Leisure Properties,GLPI,10850000000.0,46.32,-1.89,USA
Getinge,GETI-B.ST,10840000000.0,39.83,0.55,Sweden
Red Eléctrica,REE.MC,10830000000.0,20.1,0.23,Spain
LEG Immobilien,LEG.DE,10820000000.0,141.87,-1.41,Germany
Talanx,TLX.DE,10820000000.0,42.82,-0.05,Germany
Weibo,WB,10820000000.0,47.49,2.48,China
Svenska Kullagerfabriken,SKUFF,10810000000.0,24.69,0.0,Sweden
Five9,FIVN,10810000000.0,159.74,-1.23,USA
Comerica,CMA,10780000000.0,80.5,-2.45,USA
Marathon Oil,MRO,10770000000.0,13.67,-0.87,USA
Taiwan Cement,1101.TW,10740000000.0,1.8,-1.57,Taiwan
INWIT,INW.MI,10730000000.0,11.19,0.23,Italy
Teva Pharmaceutical Industries,TEVA,10730000000.0,9.74,-2.31,Israel
Ambuja Cements,AMBUJACEM.NS,10730000000.0,5.41,0.21,India
Booz Allen Hamilton,BAH,10720000000.0,79.35,-0.13,USA
StoneCo,STNE,10720000000.0,34.72,0.12,Brazil
Builders FirstSource,BLDR,10720000000.0,51.74,-4.04,USA
Cipla,CIPLA.NS,10700000000.0,13.27,0.07,India
Yamaha,7951.T,10700000000.0,61.78,-1.99,Japan
Chandra Asri Petrochemical,TPIA.JK,10680000000.0,0.49,-1.74,Indonesia
Quanta Computer,2382.TW,10670000000.0,2.77,-0.65,Taiwan
American Financial Group,AFG,10660000000.0,125.83,-0.91,USA
Henry Schein,HSIC,10630000000.0,76.16,-2.71,USA
Dick's Sporting Goods,DKS,10610000000.0,119.77,-5.75,USA
Lundin Energy,LUNE.ST,10580000000.0,37.21,2.96,Sweden
GDS Holdings,GDS,10580000000.0,56.61,-0.09,China
Yuanta Financial Holding,2885.TW,10560000000.0,0.87,-2.02,Taiwan
Cemex,CX,10560000000.0,7.17,0.84,Mexico
Berger Paints,BERGEPAINT.NS,10550000000.0,10.87,-0.34,India
AEGON,AEG,10490000000.0,5.09,0.0,Netherlands
Santos,STO.AX,10480000000.0,5.03,-2.65,Australia
Acceleron Pharma,XLRN,10480000000.0,172.1,-1.86,USA
Saputo,SAP.TO,10470000000.0,25.34,0.16,Canada
Dentsu,4324.T,10460000000.0,37.73,-1.97,Japan
ICICI Lombard,ICICIGI.NS,10460000000.0,21.33,-0.47,India
Global-e,GLBE,10450000000.0,71.8,0.38,Israel
Natera,NTRA,10450000000.0,111.44,3.55,USA
First Financial Holding,2892.TW,10440000000.0,0.81,-0.67,Taiwan
Nippon Building Fund,8951.T,10430000000.0,6312.0,-2.62,Japan
Skanska,SKSBF,10420000000.0,25.0,-4.62,Sweden
Tourmaline Oil,TOU.TO,10400000000.0,34.81,5.03,Canada
NCsoft,036570.KS,10390000000.0,504.62,-1.0,S. Korea
Renault,RNSDF,10390000000.0,33.63,0.0,France
Nitto Denko,6988.T,10390000000.0,70.27,-1.5,Japan
Tele2,TEL2-A.ST,10380000000.0,15.03,1.54,Sweden
Sagax,SAGA-B.ST,10380000000.0,31.18,0.07,Sweden
Cochlear,COH.AX,10370000000.0,157.78,-0.74,Australia
Schibsted,SCHA.OL,10370000000.0,47.37,0.1,Norway
Hong Kong Telecom,6823.HK,10370000000.0,1.37,-0.19,Hong Kong
The Toro Company,TTC,10360000000.0,97.41,-2.13,USA
VEREIT,VER,10360000000.0,45.23,-1.29,USA
Carlisle Companies,CSL,10360000000.0,198.79,-2.13,USA
BorgWarner,BWA,10360000000.0,43.21,-2.33,USA
InterGlobe Aviation,INDIGO.NS,10350000000.0,26.89,-1.35,India
Pegasystems,PEGA,10350000000.0,127.1,-0.35,USA
Offcn Education,002607.SZ,10340000000.0,1.68,0.28,China
Tapestry,TPR,10300000000.0,37.02,-4.46,USA
Largan Precision,3008.TW,10290000000.0,76.76,-2.51,Taiwan
New World Development Company,0017.HK,10290000000.0,4.09,-0.62,Hong Kong
New Hope Liuhe,000876.SZ,10280000000.0,2.28,0.27,China
Siemens India,SIEMENS.NS,10260000000.0,28.83,0.43,India
Hang Lung Properties,0101.HK,10260000000.0,2.28,-1.11,Hong Kong
Unilever Indonesia,UNVR.JK,10250000000.0,0.27,-2.53,Indonesia
Deckers Brands,DECK,10250000000.0,360.2,-3.25,USA
Watsco,WSO,10250000000.0,264.62,-2.65,USA
Agilon Health,AGL,10240000000.0,26.21,0.15,USA
Oak Street Health,OSH,10240000000.0,42.53,-4.6,USA
Unibail-Rodamco-Westfield,URW.AS,10230000000.0,73.86,-2.97,France
Sumitomo Denki Kōgyō,5802.T,10230000000.0,13.12,-1.87,Japan
Japan Airlines,9201.T,10220000000.0,23.4,-1.8,Japan
QuantumScape,QS,10210000000.0,24.54,-3.61,USA
Brookfield Renewable Partners,BEP,10200000000.0,36.91,0.05,Bermuda
Curevac,CVAC,10200000000.0,54.62,-0.51,Germany
Eicher Motors,EICHERMOT.NS,10180000000.0,37.25,-0.97,India
Proofpoint,PFPT,10150000000.0,175.9,0.0,USA
First Solar,FSLR,10140000000.0,95.46,1.48,USA
Wharf Holdings,0004.HK,10140000000.0,3.32,1.17,Hong Kong
Magellan Midstream Partners,MMP,10090000000.0,45.58,-1.56,USA
Service Corporation International,SCI,10090000000.0,60.26,-0.86,USA
Molson Coors,TAP,10080000000.0,46.38,-1.99,USA
Toray Industries,3402.T,10070000000.0,6.3,-1.65,Japan
RPM International,RPM,10070000000.0,77.65,-1.07,USA
Kinnevik,KINV-A.ST,10060000000.0,39.17,2.99,Sweden
China Eastern Airlines,CEA,10060000000.0,19.1,0.16,China
Bausch Health,BHC,10040000000.0,27.85,-1.03,Canada
MinebeaMitsumi,6479.T,10040000000.0,24.85,-2.97,Japan
Zions Bancorporation,ZION,10030000000.0,61.89,-2.9,USA
Everest Re,RE,9990000000.0,250.78,-0.89,BM
Disco Corp.,6146.T,9990000000.0,277.16,-1.12,Japan
NRG Energy,NRG,9990000000.0,40.83,-1.57,USA
Synnex,SNX,9990000000.0,104.1,-3.05,USA
Taiwan Mobile,3045.TW,9970000000.0,3.55,-0.3,Taiwan
Elisa,ELISA.HE,9970000000.0,62.27,0.19,Finland
Gecina,GFC.PA,9960000000.0,135.31,-1.85,France
Tata Consumer Products,TATACONSUM.NS,9960000000.0,10.81,-1.44,India
Sino Land,0083.HK,9950000000.0,1.35,-0.57,Hong Kong
Temenos,TEMN.SW,9910000000.0,136.2,0.63,Switzerland
Five Below,FIVE,9900000000.0,176.81,-4.94,USA
Cleveland-Cliffs,CLF,9890000000.0,19.81,-0.55,USA
Arkema,AKE.PA,9890000000.0,132.93,0.04,France
Française des Jeux,FDJ.VI,9880000000.0,51.78,-0.56,France
Norwegian Cruise Line,NCLH,9880000000.0,26.71,-2.3,USA
Guidewire Software,GWRE,9870000000.0,118.87,0.03,USA
Hill-Rom,HRC,9870000000.0,150.0,-0.01,USA
Intellia Therapeutics,NTLA,9850000000.0,134.15,-2.48,USA
Eiffage,FGR.PA,9850000000.0,101.79,-0.34,France
Levi Strauss,LEVI,9840000000.0,24.51,-4.44,USA
Chegg,CHGG,9840000000.0,68.02,0.09,USA
Nan Ya PCB,8046.TW,9820000000.0,15.21,-2.76,Taiwan
Hubbell,HUBB,9820000000.0,180.67,-2.25,USA
Wynn Resorts,WYNN,9800000000.0,84.75,1.34,USA
Advantech,2395.TW,9790000000.0,12.67,-3.42,Taiwan
CubeSmart,CUBE,9770000000.0,48.45,-2.26,USA
CyberAgent,4751.T,9770000000.0,19.37,0.05,Japan
Hapvida,HAPV3.SA,9750000000.0,2.51,-0.07,Brazil
Penumbra,PEN,9740000000.0,266.5,0.53,USA
Kingfisher,KFI1.F,9720000000.0,4.57,-1.01,UK
A. O. Smith,AOS,9720000000.0,61.07,-3.9,USA
Manhattan Associates,MANH,9700000000.0,153.03,0.12,USA
Bunge,BGEPF,9660000000.0,119.95,0.8,USA
Embracer Group,EMBRAC-B.ST,9660000000.0,9.6,-0.82,Sweden
Aisin Seiki,7259.T,9660000000.0,35.85,-1.47,Japan
GAIL,GAIL.NS,9650000000.0,2.18,1.57,India
Lithia Motors,LAD,9650000000.0,317.04,-8.31,USA
CapitaLand Mall Trust,C38U.SI,9620000000.0,1.49,-0.49,Singapore
Rémy Cointreau,RCO.PA,9610000000.0,194.46,-0.42,France
Hua Nan Financial Holdings,2880.TW,9600000000.0,0.73,-0.74,Taiwan
McAfee,MCFE,9600000000.0,22.11,-0.81,USA
CyrusOne,CONE,9600000000.0,77.41,-0.65,USA
Amdocs,DOX,9580000000.0,75.71,-0.66,USA
Otsuka,4768.T,9570000000.0,50.51,-1.57,Japan
TFI International,TFII,9560000000.0,102.18,0.11,Canada
Yamaha Motor,7272.T,9540000000.0,27.31,-2.08,Japan
Galp Energia,GZ5.F,9540000000.0,11.23,1.68,Portugal
CAE,CAE,9530000000.0,29.87,1.36,Canada
NiSource,NI,9500000000.0,24.23,0.0,USA
PGNiG,7GG.F,9500000000.0,1.58,4.09,Poland
Banco de Chile,BCH,9490000000.0,18.49,0.98,Chile
Middleby,MIDD,9480000000.0,170.51,-2.02,USA
Motherson Sumi Systems,MOTHERSUMI.NS,9480000000.0,3.0,-1.44,India
West Japan Railway,9021.T,9470000000.0,49.58,-1.77,Japan
Altice USA,ATUS,9470000000.0,20.72,6.09,USA
Isuzu,7202.T,9460000000.0,12.83,-2.58,Japan
GMO Payment Gateway,3769.T,9450000000.0,124.63,-1.69,Japan
Hamamatsu,6965.T,9440000000.0,60.98,-1.73,Japan
Banco Santander-Chile,BSAC,9430000000.0,19.77,0.25,Chile
Marico,MARICO.NS,9430000000.0,7.3,-1.04,India
Resona Holdings,8308.T,9420000000.0,3.9,-2.83,Japan
Newell Brands,NWL,9410000000.0,22.14,-7.36,USA
Accor,AC.PA,9400000000.0,35.93,-2.83,France
Israel Chemicals,ICL,9400000000.0,7.27,-3.84,Israel
Texas Pacific Land Trust,TPL,9370000000.0,1209.0,-2.52,USA
TPG Telecom,TPG.AX,9370000000.0,5.04,-0.99,Australia
Life Storage,LSI,9360000000.0,114.74,-1.73,USA
Telus International,TIXT,9350000000.0,35.01,0.0,Canada
Cree,CREE,9350000000.0,80.73,0.87,USA
Lear Corporation,LEA,9340000000.0,156.48,-1.27,USA
Erie Indemnity,ERIE,9320000000.0,178.42,0.35,USA
Kasikornbank,KBANK.BK,9320000000.0,3.93,-0.37,Thailand
Ares Capital,ARCC,9310000000.0,20.33,-0.49,USA
Mindtree,MINDTREE.NS,9310000000.0,56.5,-0.21,India
Assurant,AIZ,9270000000.0,157.75,-1.78,USA
Prysmian Group,PRY.MI,9270000000.0,35.2,-1.49,Italy
ESR,1821.HK,9260000000.0,3.04,1.07,Hong Kong
Churchill Downs,CHDN,9240000000.0,240.08,0.63,USA
RTL Group,RRTL.F,9240000000.0,59.73,0.1,Luxembourg
AGCO,AGCO,9230000000.0,122.53,-4.33,USA
Meiji Holdings,2269.T,9230000000.0,63.66,-1.25,Japan
Bumble,BMBL,9220000000.0,49.98,0.2,USA
Orkla,ORKLF,9220000000.0,9.03,0.0,Norway
Amorepacific,090430.KS,9210000000.0,147.07,-2.52,S. Korea
ICA Gruppen,ICA.ST,9200000000.0,45.79,-0.25,Sweden
Ascendas Reit,A17U.SI,9190000000.0,2.19,-0.67,Singapore
Federal Realty Investment Trust,FRT,9170000000.0,117.99,-2.12,USA
Credit Acceptance,CACC,9170000000.0,585.3,-0.8,USA
Jefferies Financial Group,JEF,9170000000.0,37.13,-1.54,USA
Acciona,ANA.MC,9160000000.0,166.25,-0.9,Spain
Alcoa,AA,9140000000.0,48.94,-3.24,USA
WH Group,0288.HK,9140000000.0,0.71,-0.54,Hong Kong
Mercari,4385.T,9140000000.0,57.31,4.06,Japan
Algonquin Power & Utilities,AQN,9130000000.0,14.66,-0.48,Canada
Mirati Therapeutics,MRTX,9130000000.0,176.91,1.53,USA
PhosAgro,PHOR.ME,9120000000.0,70.5,1.19,Russia
Wacker Chemie,WCH.F,9120000000.0,183.78,-1.49,Germany
XPO Logistics,XPO,9120000000.0,79.58,-2.08,USA
Tempur Sealy,TPX,9110000000.0,46.41,-3.85,USA
Concentrix,CNXC,9100000000.0,177.0,-1.0,USA
China Oilfield Services,2883.HK,9100000000.0,0.95,-0.27,China
Rohm,6963.T,9090000000.0,92.71,-2.54,Japan
AECOM,ACM,9090000000.0,63.15,-1.17,USA
Biohaven Pharmaceutical,BHVN,9080000000.0,138.91,4.91,USA
Neurocrine Biosciences,NBIX,9070000000.0,95.91,1.61,USA
Sunrun,RUN,9060000000.0,44.0,5.74,USA
Ascendis Pharma,ASND,9050000000.0,159.39,1.52,Denmark
Globe Life,GL,9050000000.0,89.03,-1.19,USA
Syneos Health,SYNH,9050000000.0,87.48,-1.51,USA
Reliance Steel & Aluminum,RS,9040000000.0,142.42,-1.57,USA
SIG Combibloc,SIGN.SW,9010000000.0,26.7,0.4,Switzerland
LG Household & Health Care,051905.KS,9000000000.0,537.58,-0.93,S. Korea
PKN Orlen,PKY1.F,8970000000.0,20.66,4.77,Poland
Cimarex Energy,XEC,8960000000.0,87.2,-3.11,USA
Sibanye-Stillwater,SBSW,8950000000.0,12.34,2.24,South Africa
Crocs,CROX,8950000000.0,143.48,-4.23,USA
First Horizon National,FHN,8940000000.0,16.29,-1.87,USA
Juniper Networks,JNPR,8940000000.0,27.52,-2.96,USA
Dolby,DLB,8920000000.0,88.0,-0.82,USA
Genpact,G,8910000000.0,47.51,-0.88,Bermuda
UGI Corporation,UGI,8910000000.0,42.62,-0.93,USA
Lamb Weston,LW,8900000000.0,61.37,-0.39,USA
Anaplan,PLAN,8900000000.0,60.89,0.13,USA
SiteOne Landscape Supply,SITE,8880000000.0,199.47,-2.34,USA
Credicorp,BAP,8840000000.0,110.94,-1.91,Bermuda
SRF Limited,SRF.NS,8840000000.0,149.32,-1.79,India
GN Store Nord,GNN.F,8830000000.0,69.1,-1.36,Denmark
Chubu Electric Power,9502.T,8810000000.0,11.66,-1.29,Japan
Owens Corning,OC,8810000000.0,85.5,-2.97,USA
Lattice Semiconductor,LSCC,8810000000.0,64.65,1.02,USA
Tokyu,9005.T,8810000000.0,14.59,-2.04,Japan
Mitsubishi Heavy Industries,7011.T,8800000000.0,26.18,-3.16,Japan
Falabella,FALABELLA.SN,8790000000.0,3.51,0.35,Chile
Boliden,BOL.ST,8790000000.0,32.15,1.18,Sweden
Daiwa Securities Group,8601.T,8780000000.0,5.78,-1.16,Japan
HK Electric Investments,2638.HK,8770000000.0,0.99,0.91,Hong Kong
Under Armour,UA,8770000000.0,17.52,-3.2,USA
X5 Retail Group,PJP.F,8760000000.0,32.27,-0.71,Netherlands
Realtek,2379.TW,8740000000.0,17.13,-3.83,Taiwan
ST Engineering,SJX.F,8730000000.0,2.76,0.85,Singapore
AutoNation,AN,8710000000.0,121.76,-5.62,USA
Meridian Energy,MEZ.AX,8710000000.0,3.39,-0.42,New Zealand
Cameco,CCJ,8700000000.0,21.73,5.59,Canada
STORE Capital,STOR,8700000000.0,32.03,-2.05,USA
Cabot Oil & Gas,COG,8690000000.0,21.76,-3.5,USA
Braskem,BAK,8680000000.0,21.83,-2.98,Brazil
Smartsheet,SMAR,8660000000.0,68.82,-1.59,USA
Sensata Technologies,ST,8660000000.0,54.72,-1.28,USA
Alleghany,Y,8660000000.0,624.41,-0.54,USA
Insurance Australia Group,IAG.AX,8650000000.0,3.51,-1.02,Australia
Western Midstream,WES,8650000000.0,20.96,-0.71,USA
Sampoerna,HSZ.F,8640000000.0,0.07,0.0,Indonesia
Apollo Hospitals,APOLLOHOSP.NS,8630000000.0,60.09,-0.54,India
Vornado Realty Trust,VNO,8630000000.0,42.01,-2.69,USA
Flex,FLEX,8630000000.0,17.68,-1.83,Singapore
Raiffeisen Bank International,RAW.F,8590000000.0,26.14,0.09,Austria
Ovintiv,OVV,8580000000.0,32.88,-1.7,USA
ASUS,2357.TW,8550000000.000001,11.52,-1.54,Taiwan
OTE Group,OTE.F,8550000000.000001,18.46,-0.38,Greece
Bechtle,BC8.F,8539999999.999999,67.85,-0.58,Germany
Gap Inc.,GPS,8529999999.999999,22.7,-8.02,USA
KEPCO,9503.T,8529999999.999999,9.56,-1.52,Japan
Curaleaf,CURLF,8529999999.999999,12.05,2.21,USA
CRISPR Therapeutics,CRSP,8520000000.0,111.93,1.57,Switzerland
Jabil,JBL,8510000000.0,58.37,1.99,USA
Vertiv Holdings,VRT,8490000000.0,24.09,-0.78,USA
Knight-Swift,KNX,8480000000.0,51.15,-1.96,USA
Hyatt Hotels,H,8470000000.000001,77.1,-1.95,USA
IPG Photonics,IPGP,8470000000.000001,158.4,-0.44,USA
Getlink,GET.PA,8470000000.000001,15.71,-0.84,France
Grupo NotreDame Intermédica,GNDI3.SA,8470000000.000001,13.78,1.03,Brazil
Godrej Properties,GODREJPROP.NS,8460000000.000001,30.46,-2.27,India
DXC Technology,DXC,8460000000.000001,33.61,-1.98,USA
JSW Energy,JSWENERGY.NS,8449999999.999999,5.15,-2.08,India
Telecom Italia,TIT.MI,8449999999.999999,0.39,-1.85,Italy
Nippon Prologis REIT,3283.T,8439999999.999999,3272.0,-1.74,Japan
Vifor Pharma,VIFN.SW,8439999999.999999,130.2,1.59,Switzerland
Bright Horizons,BFAM,8439999999.999999,139.42,-3.24,USA
DWS Group,DWS.F,8410000000.0,42.07,-0.71,Germany
Gerdau,GGB,8390000000.000001,4.92,3.36,Brazil
Aramark,ARMK,8380000000.000001,32.86,-2.14,USA
MKS Instruments,MKSI,8359999999.999999,150.91,0.24,USA
SEI Investments,SEIC,8359999999.999999,59.3,-1.18,USA
GrandVision,GVNV.AS,8350000000.0,32.91,-0.18,Netherlands
Endava,DAVA,8330000000.0,135.85,1.1,UK
Piramal Group,PEL.NS,8330000000.0,34.93,-0.17,India
DigitalOcean,DOCN,8330000000.0,77.63,-0.28,USA
Bancolombia,CIB,8320000000.0,34.62,0.7,Colombia
Mobile TeleSystems,MBT,8320000000.0,9.64,-1.13,Russia
Swire Pacific,0019.HK,8310000000.000001,5.95,1.87,Hong Kong
Ternium,TX,8300000000.000001,42.3,-1.01,Luxembourg
Rockwool,R90.F,8300000000.000001,425.72,-1.48,Denmark
United Therapeutics,UTHR,8289999999.999999,184.58,-0.5,USA
AGNC Investment,AGNC,8270000000.0,15.77,-1.25,USA
GEA Group,G1A.F,8250000000.0,45.73,-0.45,Germany
Huaneng Power,HNP,8250000000.0,21.03,1.55,China
Vistra,VST,8250000000.0,17.1,0.88,USA
Commerzbank,CBK.F,8240000000.0,6.55,-2.29,Germany
Berry Global,BERY,8230000000.0,60.88,-1.63,USA
AspenTech,AZPN,8230000000.0,122.8,-1.68,USA
Hitachi Metals,5486.T,8230000000.0,19.26,-0.14,Japan
New York Times,NYT,8230000000.0,49.27,-1.12,USA
Zynga,ZNGA,8220000000.000001,7.53,-0.26,USA
Gland Pharma,GLAND.NS,8210000000.000001,50.04,-0.21,India
Western Union,WU,8210000000.000001,20.22,-2.69,USA
Sealed Air,SEE,8210000000.000001,54.79,-1.93,USA
Magnit,MGNT.ME,8199999999.999999,83.8,0.95,Russia
Rexford Industrial,REXR,8180000000.0,56.75,-1.01,USA
Phillips 66 Partners,PSXP,8180000000.0,35.85,-0.75,USA
Odakyu Electric Railway,9007.T,8170000000.0,22.51,-2.89,Japan
Indian Railway Catering & Tourism,IRCTC.NS,8170000000.0,51.07,-0.27,India
Nissin Foods,2897.T,8160000000.0,79.21,-1.12,Japan
ScottsMiracle-Gro,SMG,8160000000.0,146.36,-1.34,USA
Ralph Lauren,RL,8160000000.0,111.04,-5.0,USA
Pinnacle West Capital,PNW,8160000000.0,72.36,-0.06,USA
Arrival,ARVL,8150000000.0,13.15,-0.45,UK
First Citizens BancShares,FCNCA,8140000000.000001,843.17,-3.06,USA
Commerce Bancshares,CBSH,8130000000.000001,69.68,-1.97,USA
Polymetal,PM6.F,8130000000.000001,17.03,3.6,Cyprus
Sinopharm,1099.HK,8130000000.000001,2.61,-0.49,China
Muthoot Finance,MUTHOOTFIN.NS,8130000000.000001,20.27,3.67,India
United Spirits,UNITDSPR.BO,8109999999.999999,11.45,-0.46,India
Apache Corporation,APA,8100000000.0,21.43,0.75,USA
Sumitomo Chemical,4005.T,8090000000.0,4.95,-5.3,Japan
Yakult,2267.T,8090000000.0,50.43,-0.35,Japan
Genscript Biotech,1548.HK,8080000000.0,3.85,2.39,China
Japan Real Estate Investment,8952.T,8080000000.0,5838.0,-2.25,Japan
Penske Automotive,PAG,8080000000.0,100.6,-7.19,USA
Nutanix,NTNX,8070000000.0,37.7,-0.13,USA
Tetra Tech,TTEK,8070000000.0,149.34,-0.17,USA
Nissan Chemical,4021.T,8070000000.0,56.68,-3.06,Japan
Arrow Electronics,ARW,8060000000.000001,112.29,-1.84,USA
Empire Company,EMP-A.TO,8060000000.000001,30.36,1.05,Canada
Universal Display Corporation,OLED,8050000000.000001,170.96,-1.18,USA
Mondi,MNDI.L,8050000000.000001,14.68,-1.86,UK
Singapore Exchange,SPXCF,8029999999.999999,7.52,0.0,Singapore
Mitsui O.S.K. Lines,9104.T,8029999999.999999,67.14,-0.66,Japan
Tōkyō Gas,9531.T,8020000000.0,18.27,-1.73,Japan
AUTO1,AG1.F,8010000000.0,37.82,-0.37,Germany
TOTO,5332.T,8010000000.0,47.3,-0.75,Japan
Scientific Games,SGMS,8000000000.0,83.07,-1.24,USA
Auckland Airport,AIA.AX,7990000000.0,5.43,0.0,New Zealand
Banca Mediolanum,BMED.MI,7990000000.0,10.85,0.86,Italy
Jazz Pharmaceuticals,JAZZ,7990000000.0,130.21,-1.08,Ireland
UnipolSai,US.MI,7980000000.0,2.82,-0.57,Italy
Aroundtown,TOWN.VI,7980000000.0,6.95,0.34,Luxembourg
T&D Holdings,8795.T,7970000000.0,13.65,-1.42,Japan
Covivio,COV.PA,7970000000.0,84.54,-1.01,France
Avast,AV2.F,7970000000.0,7.7,0.42,Czech Republic
Rightmove,3JDA.F,7950000000.0,9.23,0.0,UK
Ciena,CIEN,7950000000.0,51.35,0.06,USA
Swedish Orphan Biovitrum,SOBI.ST,7950000000.0,26.95,-0.13,Sweden
Netmarble,251270.KS,7920000000.0,96.78,-2.97,S. Korea
FirstService,FSV,7910000000.0,180.48,-0.36,Canada
Ipsen,IPN.PA,7900000000.0,95.85,2.08,France
WEX,WEX,7890000000.0,176.14,0.58,USA
Gentex,GNTX,7880000000.0,32.98,-1.38,USA
Hualan Biological Engineering,002007.SZ,7870000000.0,4.32,0.79,China
AptarGroup,ATR,7870000000.0,119.35,-0.86,USA
Becle,CUERVO.MX,7860000000.0,2.19,1.17,Mexico
Copenhagen Airport,KLH.F,7840000000.0,984.49,0.0,Denmark
Evotec,EVT.F,7830000000.0,47.6,-2.03,Germany
Banco Santander México,BSMX,7810000000.0,5.73,2.14,Mexico
KGHM Polska Miedź,KGHA.F,7810000000.0,39.07,-1.44,Poland
Groupe SEB,SK.PA,7800000000.0,141.52,-1.46,France
Rexnord,RXN,7780000000.0,64.29,-1.4,USA
Santander Polska,BZI.F,7780000000.0,74.09,-0.53,Poland
Qantas Airways,QAN.AX,7760000000.0,4.12,0.71,Australia
Meggitt,MEGGF,7760000000.0,9.93,-2.46,UK
Avis Budget Group,CAR,7750000000.0,116.51,-1.25,USA
Huntington Ingalls Industries,HII,7740000000.0,193.06,-2.16,USA
Olin,OLN,7740000000.0,48.25,-1.57,USA
Spring Airlines,601021.SS,7740000000.0,8.45,2.96,China
FAW Car,000800.SZ,7730000000.0,1.66,0.66,China
EQT Corporation,EQT,7730000000.0,20.46,-1.35,USA
Hikma Pharmaceuticals,H5P.F,7720000000.0,33.2,1.42,UK
Idemitsu Kosan,5019.T,7720000000.0,25.97,-1.39,Japan
Globus Medical,GMED,7710000000.0,76.62,-2.89,USA
AerCap,AER,7710000000.0,57.81,-2.87,Ireland
Kilroy Realty,KRC,7710000000.0,66.21,-1.91,USA
Trend Micro,4704.T,7690000000.0,55.25,-0.64,Japan
US Foods,USFD,7690000000.0,34.66,-4.62,USA
Dongfeng Motor,0489.HK,7680000000.0,0.89,1.46,China
Tomra,TOM.OL,7680000000.0,52.05,1.62,Norway
Pershing Square Holdings,PSHZF,7680000000.0,35.65,-1.26,USA
Ubisoft,UBSFF,7670000000.0,62.04,0.0,France
Daito Trust Construction,1878.T,7660000000.0,112.65,-3.37,Japan
Apartment Income REIT,AIRC,7660000000.0,48.81,-1.25,USA
Mphasis,MPHASIS.NS,7660000000.0,40.88,-2.32,India
Hikari Tsushin,9435.T,7650000000.0,166.74,-1.27,Japan
Lincoln Electric,LECO,7640000000.0,128.79,-2.54,USA
Komerční banka,KONN.F,7640000000.0,40.15,0.93,Czech Republic
Advanced Drainage Systems,WMS,7630000000.0,108.17,-1.21,USA
Fresnillo,FNLPF,7620000000.0,10.26,-0.19,Mexico
Brooks Automation,BRKS,7600000000.0,102.35,-1.05,USA
Hero MotoCorp,HEROMOTOCO.NS,7590000000.0,38.03,-0.41,India
HELLA,HLE.F,7590000000.0,68.38,-2.42,Germany
Fluidra,FDR.MC,7590000000.0,39.99,1.32,Spain
Americold,COLD,7580000000.0,29.05,-0.62,USA
Cadila Healthcare,CADILAHC.NS,7580000000.0,7.41,-0.43,India
National Retail Properties,NNN,7580000000.0,43.19,-1.73,USA
Indorama Ventures,I93A.F,7570000000.0,1.3,3.7,Thailand
Reinsurance Group of America,RGA,7560000000.0,111.26,-0.55,USA
Localiza,RENT3.SA,7560000000.0,10.06,-0.34,Brazil
Beijer Ref,BEIJ-B.ST,7550000000.0,19.86,1.99,Sweden
Orpea,ORP.PA,7550000000.0,116.91,0.6,France
Cullen/Frost Bankers,CFR,7550000000.0,118.62,-1.98,USA
China Development Financial,2883.TW,7540000000.0,0.5,-1.41,Taiwan
Vipshop,VIPS,7530000000.0,11.14,1.36,China
Bombardier Recreational Products,DOOO,7520000000.0,92.68,-3.95,Canada
Tandem Diabetes Care,TNDM,7520000000.0,119.38,-0.45,USA
Ambu,AMBU-B.CO,7510000000.0,29.64,-3.29,Denmark
Ibiden,4062.T,7510000000.0,53.82,-2.9,Japan
Grupo ACS,ACS.MC,7500000000.0,27.22,-0.72,Spain
BJ's Wholesale Club,BJ,7490000000.0,54.92,-4.37,USA
Autoliv,ALV,7490000000.0,85.72,-1.57,Sweden
YETI Holdings,YETI,7490000000.0,85.69,-2.38,USA
Osaka Gas,9532.T,7490000000.0,18.02,-1.66,Japan
Sharp Corporation,6753.T,7480000000.0,12.23,-3.46,Japan
Korea Zinc,010130.KS,7460000000.0,422.63,-0.6,S. Korea
HealthSouth,EHC,7460000000.0,75.04,-1.6,USA
Gold Fields,GFI,7430000000.0,8.12,4.77,South Africa
Great Eastern,G07.SI,7400000000.0,15.65,-0.14,Singapore
UPL,UPL.NS,7400000000.0,9.56,0.2,India
Sotera Health,SHC,7390000000.0,26.15,-0.49,USA
ITT,ITT,7390000000.0,85.84,-1.11,USA
Sekisui Chemical,4204.T,7380000000.0,16.52,-4.1,Japan
Itochu Techno-Solutions,4739.T,7380000000.0,31.96,-1.79,Japan
Sarepta Therapeutics,SRPT,7380000000.0,92.48,4.18,USA
